t,x
41.8398,0.001519451
41.8878,-0.006283823
41.9358,-0.01402176
41.98383,-0.02052863
42.04793,-0.02626289
42.09593,-0.03036821
42.14383,-0.03224722
42.1918,-0.03205578
42.23987,-0.02932212
42.2878,-0.02467583
42.33587,-0.01862497
42.3839,-0.01128646
42.44793,-0.003578495
42.49587,0.003981054
42.5439,0.01108819
42.59187,0.01677671
42.63987,0.0207596
42.6878,0.02270926
42.73587,0.0225786
42.7998,0.02084633
42.84787,0.01694478
42.89587,0.01129417
42.9439,0.004501637
42.99193,-0.003354047
